,0,1,2,3,4,5,6,7,8,9
0,1.0653188278999999,-0.293376054,0.0,0.0,0.0432824884,-0.009228570100000102,0.07342689060000002,0.0,0.0,0.06638495460000002
1,-0.293376054,1.3677861518,0.0,0.0,-0.31103861749999995,0.07342689060000002,-0.4881793396,0.0,0.0,-0.5187900353
2,0.0,0.0,1.022780525,0.0,0.0,0.0,0.0,-0.15266258880000005,0.0,0.0
3,0.0,0.0,0.0,1.022780525,0.0,0.0,0.0,0.0,-0.15266258880000005,0.0
4,0.0432824884,-0.31103861749999995,0.0,0.0,1.3151063052,-0.06638495460000002,0.5187900353,0.0,0.0,0.4993937366000001
5,-0.009228570100000102,0.07342689060000002,0.0,0.0,-0.06638495460000002,1.0653188278999999,-0.293376054,0.0,0.0,-0.0432824884
6,0.07342689060000002,-0.4881793396,0.0,0.0,0.5187900353,-0.293376054,1.3677861518,0.0,0.0,0.31103861749999995
7,0.0,0.0,-0.15266258880000005,0.0,0.0,0.0,0.0,1.022780525,0.0,0.0
8,0.0,0.0,0.0,-0.15266258880000005,0.0,0.0,0.0,0.0,1.022780525,0.0
9,0.06638495460000002,-0.5187900353,0.0,0.0,0.4993937366000001,-0.0432824884,0.31103861749999995,0.0,0.0,1.3151063052
